pageid,naam,geboortedatum,geboorteplaats,overlijdensdatum,overlijdensplaats,beroep,bekend_van,periode_actief,werkt_samen_met,trivia,tekstuele_informatie
12643,Cynthia_Abma,1969-05-31,Rotterdam,,,"presentator, acteur","Vrienden voor het leven, De erfenis, Vrouwenvleugel",1990 - heden,"Sander de Heer, Everon Jackson Hooi, Manouk van der Meulen",,
11579,Ab_Abspoel,1925-04-29,Den Haag,2000-03-28,Rijswijk,acteur,"Herenstraat 10 , Medisch Centrum West",1959-1999,"Nico Knapper, John Van de Rest",,
30908,Thomas_Acda,1967-03-06,De Rijp,,,"cabaretier, acteur, zanger","All Stars (film), In oranje, Dit was het nieuws, Schat, Alles is liefde",1997 - heden,"Harm Edens, Raoul Heertje",,
602,Christel_Adelaar,1935-02-14,Semarang (Nederlands Indië),2013-01-10,Heemstede,"zanger, acteur","Pipo de Clown, Op de koffie, Opgeruimd, Liedjes in mijn album, Week uit - Week in",1955 - eind jaren zestig,"Harry Bannink, Rudi Carrell, Guus Hermes, Wim Meuldijk, Cor Witschge",,
12140,Achmed_Akkabi,1983-10-03,Den Haag,,,"presentator, acteur","Het huis Anubis, Alibi, KunstQuest",2006-heden,"Loek Beernink, Iris Hesseling, Lucien van Geffen",,
46896,Elvan Akyildiz,1977-01-31,Izmir,,,"cabaretier, acteur","Sesamstraat, Wet en waan, Wet , Waan",1995-heden,"Aart Staartjes, Sien Diels",,
7973,Willeke_Alberti,1945-02-03,Amsterdam,,,"acteur, zanger","Zaterdagavond met Willy en Willeke, De kleine waarheid, Rooie Sien",1958-heden,"Willy Alberti, Willy van Hemert, Jos Brink",,
29665,Marlies_van_Alcmaer,1938-01-30,Alkmaar,,,acteur,"Q en Q, Ti-Ta Tovenaar, Medisch Centrum West, 12 steden 13 ongelukken, ZOOP, Westenwind",1972 - 2007,,,
67098,Marjolein_Algera,1965-11-25,Leiden,,,"stemacteur, acteur","Pokémon, Shinchan",,"Christa Lips, Herman van Doorn, Jeroen Keers, Hilde de Mildt",,
12642,Najib_Amhali,1971-04-04,Nador (Marokko),,,"cabaretier, acteur","Most wanted, Freefight, Najib , Julia",1989 - heden,"Theo van Gogh, Hans Teeuwen, Kim van Kooten",,
30974,Willeke_van_Ammelrooy,1944-04-05,Amsterdam,,,acteur,"t Schaep met de 5 pooten, Grijpstra , De Gier, Ciske de Rat, Op hoop van zegen,  Het glazen huis, De hel van 63, Dennis P.",1966 - heden,"Pim de la Parra, Wim Verstappen",,
12148,Sander_van_Amsterdam,1988-10-21,Alkmaar,,,acteur,"De hoofdprijs, Het huis Anubis",2006-heden,"Loek Beernink, Iris Hesseling, Frans van Deursen",,
12155,Ingeborg_Ansing,1963-07-17,Zaltbommel,,,acteur,"Blue Bird, The Story of the Black Cow, Het huis Anubis",1986-heden,"Mijke de Jong, Diana Dobbelman",,
57921,William_Anthony,1956-02-23,Bonaire,,,"acteur, zanger",Duel in de diepte,1978 - heden,,,"William Anthony is een Antilliaanse zanger die als acteur en figurant in Nederlandse televisieproducties optreedt. 1. Muziek

Van jongs af aan is William Anthony bezeten van muziek. Bij de welpenhorde Sint Michael op Bonaire doet hij zijn eerste ervaringen op met zingen. Begin jaren zeventig debuteert hij met de band T.N.T. Power in Theater Oranje op Bonaire. In 1974 doet hij mee aan het Festival Voz di Oro Korsou in Broadway discotheek op Curaçao. Drie jaar later rept de Antillliaanse ochtendkrant over hem als meest veelbelovend Antilliaans artiest. In datzelfde jaar krijgt hij zijn eerste onderscheiding uit handen van de heer Frank Rozendal, voormalig wethouder van Cultuur op Curaçao.

Anthony doet met succes mee aan verschillende lokale en regionale zangwedstrijden in het Caribische gebied. Zo wint hij het Festival Voz y Cancion Korsou 1983.

In 1992 brengt hij zijn eerste single, A helping hand, in eigen beheer uit. Met steun van het bedrijfsleven op Bonaire volgt in 1998 de tweede single, Music from Bonaire. Daarna heeft hij nog een aantal CD's uitgebracht (zie de externe link in het paspoort). In zijn werk schenkt hij aandacht aan traditionele en folklore liederen van Antilliaanse afkomst, gezongen in Papiamento. De soms bijna vergeten liederen zijn voorzien van een eigentijds geluid. Naast het Antilliaanse repertoire passeren ook Nederlandstalige liedjes de revue. 2. Nederlandse televisie

In 1978 maakt Nederland kennis met Willem Anthony wanneer hij de rol van Marco speelt in de serie Duel in de diepte. Later keert hij terug als figurant in Goede tijden slechte tijden en, als politieagent, in Prettig geregeld.

In 2006 presenteert hij zijn idee voor een brievenbusbeveiligingsklep in Het beste idee van Nederland.

Van recentere datum zijn een optreden als loket ambtenaar in Het Klokhuis (2012) en in de rol van de vader van Willy Wartaal in Zapp echt gebeurd (2013)."
42031,Bert_Apeldoorn,1963-07-19,,,,acteur,"Glad ijs, Beestig, Loods 6",1990 - heden,,,"Bert Apeldoorn debuteert in 1990 op televisie in Glad ijs, het improvisatie-programma onder leiding van Berend Boudewijn. Vervolgens presenteert hij als Bert B. Dierendichter het informatieve kinderprogramma Beestig, bij de NCRV. Hij speelt een dichter die, ter inspiratie voor zijn dierengedichten, zijn caravan heeft gestald in Artis. Bert speelt De Loodgieter in het comedysoap-onderdeel van het jongerenprogramma Loods 6. In het eerste seizoen van Boobytrap (Veronica, 1994), is Bert Apeldoorn een van het team dat diverse plaaggeesten terugpakt. Verder zijn er gastrollen geweest in Goede tijden slechte tijden, Onderweg naar morgen, SamSam, Kees & Co, Met één been in het graf, Ha, die pa, Sprookjes van de zee, Diamant, Laat maar zitten, Rozengeur en wodka lime, Luifel & Luifel, Flikken Maastricht...

Bert Apeldoorn is te zien in commercials van Sander's Meubelstad, Sire, Praxis, Fisherman's Friend, Staatsloterij, Planet Interner, Eneco, Hak en Ohra. Hij is acteur, poppenspeler en improvisator sinds 1984 ook aktief in het theater. Bert Apeldoorn is een ervaren rollenspelacteur."
8136,Ger_Apeldoorn,1959-01-01,,,,"schrijver, scenarioschrijver, acteur","SamSam, Het zonnetje in huis, In de Vlaamsche Pot, Samen, Goede tijden slechte tijden, Laat maar zitten",1986 - heden,Harm Edens,,
13206,Martijn_Apituley,1948-08-04,Amsterdam,,,acteur,"Westenwind, Medisch Centrum West",1985-heden,Daan Schuurmans,,
41525,Jan_Apon,1907-10-26,Rotterdam,1993-02-01,Amsterdam,acteur,"Vrouwtje Bezemsteel, Mik en Mak, De avonturen van Okkie Trooy",1928 - jaren tachtig,"Jules Hamel, Elisabeth Versluys",,
21162,Jenny_Arean,1942-10-04,Lisse,,,"cabaretier, acteur, zanger","Vadertje Langbeen, Het meisje met de blauwe hoed, t Vrije Schaep",1962-heden,,,
28880,"Adigun_Arnaud
",?-02-25,Aruba,,,"schrijver, musicus, acteur",Bradaz,1995 - heden,,,"Adigun Arnaud (Aruba, Oranjestad) is op jonge leeftijd een comic liefhebber en hij weet dat hij in de film en entertainment iets groots wil bereiken.  Na het afmaken van zijn middelbare school haalt hij in 1996 zijn Masters Degree in Audio Engineering aan The School Of Audio Engineering (SAE).  Daarna besluit hij het vak Acteren te studeren op de Hogeschool van de Kunst te Utrecht.  Hij maakt deze opleiding echter niet af, omdat hij de mogelijkheid krijgt om in de bekende televisie-serie Bradaz te spelen. Na Bradaz, waar hij veel leert over het werk voor en achter de camera, wordt zijn interesse voor het regisseren geprikkeld.  Hij weet  na een keer te zijn geweigerd en een keer het toelatingsexamen net niet te hebben gehaald met een derde poging zijn Regie-Diploma te halen (2000).  Met zijn korte film The Apple weet hij een geweldig eindexamen project af te leveren. Naast het filmmaken heeft Adigun Arnaud een passie voor muziek."
9349,Josefine_van_Asdonk,1974-10-06,Amsterdam,,,acteur,"Goudkust, De Garage",1989-heden,"Froukje de Both, Maureen du Toit, Adrienne Kleiweg, Tygo Gernandt",,
12166,Barry_Atsma,1972-12-29,"Bromley, Engeland",,,acteur,"Rozengeur , wodka lime, Lepe, Morrison krijgt een zusje, Voetbalvrouwen",1994-heden,"Vincent Schuurman, Willem van de Sande Bakhuysen",,
19159,Doris_Baaten,1956-04-12,Maastricht,,,"presentator, acteur","Entrée, Gemeentebelangen, Troetelbeertjes",,,,
12659,Dragan_Bakema,1980-05-12,Appelscha,,,"scenarioschrijver, acteur","Loverboy, Hitte Harara, Medea",2001- heden,"Frederique Spigt, Tara Elders, Maria Kraakman",,
40231,Annelies_Balhan,1948-05-27,Ede,,,acteur,"Tax Free, Ted de Braak show",onbekend,,,
644,Piet_Bambergen,1931-03-03,Amsterdam,1996-06-15,Griekenland,"komiek, acteur","De Mounties, AVROs Weekendshow",1950-1996,"Fred Plevier, René van Vooren",,
12138,Vincent Banic,1988-06-09,Duffel (België),,,acteur,"Het huis Anubis, Spoed",2004-heden,"Loek Beernink, Iris Hesseling, Lucien van Geffen",,
12661,Abdullah_El_Baoudi,1986-11-04,Amsterdam,2012-04-11,Marokko,acteur,"Fok jou!, Hitte Harara, Van Speijk",2001- heden,"Tygo Gernandt, Cahit Ölmez, Rik Launspach",,
13291,Edda_Barends,1942-04-07,Amsterdam,,,acteur,"Hij , Julia, Cowboy uit Iran, Met één been in het graf",1969-heden,"Ilse Somers, Frank Ketelaar",,
822,Annette_Barlo,1974-11-08,Bunnik,,,acteur,"Oppassen!!!, Hij , Julia",1989 - heden,,,"Annette maakt in 1989 als 14-jarige haar debuut voor de televisie als presentatrice van het consumentenprogramma voor jongeren Platzak.   Vervolgens acteert ze in een bijrol in de VARA dramaserie 12 steden, 13 ongelukken.  Haar echte doorbraak maakt ze in 1991 in de serie Oppassen!!!  In deze comedy  speelt ze de rol van Anna Bol.   Bijna tien jaar zou ze deze rol blijven spelen.  In de serie begint ze als puber en eindigt als getrouwde vrouw met een kind.  Ondertussen presenteert Barlo verschillende programmas op de Nederlandse televisie, van de Rabo Top 40 tot Wereldwensen.  Sinds 2004 werkt ze voor de zender RTV Utrecht"
65464,Wim_Bary,1929-01-13,Leeuwarden,,,"regisseur, actor",,1953-1966,,,
39217,Ad_Bastiaanse,1961-07-05,Oud Gastel,,,"presentator, acteur, spreker","Onderweg naar morgen, Baantjer, Combat, Goede tijden slechte tijden, Boobytrap, Rozengeur , wodka lime, Ze, a, De Club",1989 - heden,Universiteit Nyenrode (Advanced Management Program) / Crestcom / diverse organisatiebureaus,,
7971,Frans_Bauer,1973-12-30,Roosendaal,,,"presentator, acteur, zanger","De Bauers, Bananasplit, Bauers zigeunernacht",1987-heden,,,
9227,Tom_van_Beek,1931-12-26,Maastricht,2002-01-20,Amsterdam,"schrijver, acteur","Soldaat van Oranje, Goede tijden slechte tijden, Amulet",1961-2000,"Babette van Veen, Reinout Oerlemans, Joost Buitenweg",,
13386,Menno_van_Beekum,1955-12-10,Den Haag,,,acteur,"Uitgesloten, TBS",1988 - heden,"Pieter Kuijpers, Egbert Jan Weeber, Mijke de Jong",,
12063,Loek_Beernink,1986-03-06,Aalten,,,"acteur, zanger","Het huis Anubis, Bloesem",2006-heden,"Iris Hesseling, Lucien van Geffen",,
59492,Hans_Beijer,1948-05-11,Amsterdam,,,acteur,"Bassie en Adriaan, Vreemde praktijken",1970-heden,"Bas van Toor, Aad van Toor",,
663,Fred_Benavente,1926-11-24,Haarlem,2005-12-02,Le Caylar& Frankrijk,acteur,"Zeskamp, Farce Majeure, De Ted show, n Dik uur Dick, Prettig geregeld",1954-1991,"Dick van Bommel, Ted de Braak, Jan Fillekers, Henk van der Horst, Alexander Pola, Dick Passchier, Peter Faber, Anne-Wil Blankers",,
