naam,officiële website,land van nationaliteit,IMDb-identificatiecode,geboortedatum,aantal volgers op sociale media,voornaam,beroep,geboorteplaats,sekse of geslacht,GTAA-identificatiecode,Instagram-gebruikersnaam,Twitter-gebruikersnaam,werkperiode (begin),afbeelding,familienaam,ČSFD-identificatiecode voor persoon,Freebase-identificatiecode,is een,kind,Commonscategorie,geboortenaam,werken in collectie,auteursrechtenstatus van maker,overlijdensplaats,overlijdensdatum,naam in moedertaal,Stadsarchief Rotterdam-identificatiecode voor persoon of organisatie,MusicBrainz-identificatiecode voor artiest,Acharts.co-identificatiecode voor artiest,VIAF-identificatiecode,Europeana Entity-identificatiecode,WorldCat Identities-identificatiecode,instrument,PORT-identificatiecode voor persoon,ISNI-identificatiecode,Kinopoisk-identificatiecode voor persoon,AlloCiné-identificatiecode voor persoon,NTA-identificatiecode,Muziekweb-identificatiecode voor uitvoerend artiest,platenlabel,MovieMeter-identificatiecode voor regisseur,AllMovie-identificatiecode voor artiest,wijze van overlijden,doodsoorzaak,Filmweb.pl-identificatiecode voor persoon,huwelijkspartner,GND-identificatiecode,Cultureel Woordenboek-identificatiecode,LCAuth-identificatiecode,deelgenomen aan,Discogs-identificatiecode voor artiest,genre,Nederlandse Top 40-identificatiecode voor artiest,AllMusic-identificatiecode voor artiest,ontvangen prijs,aantal kinderen,pseudoniem,Kunstenpunt-identificatiecode voor persoon,vader,Songkick-identificatiecode voor artiest,video,NKC-identificatiecode,CONOR.SI-identificatiecode,SFDb-identificatiecode voor persoon,Elonet-identificatiecode voor acteur,Scope.dk-identificatiecode voor persoon,Filmportal-identificatiecode,Deutsche Biographie-identificatiecode,Deutsche Synchronkartei-identificatiecode voor acteur,SUDOC-identificatiecode,lid van,BnF-identificatiecode,DNF-identificatiecode voor persoon,Google Knowledge Graph-identificatiecode,beschreven op URL,INDUCKS-identificatiecode voor maker,DBNL-identificatiecode voor auteur,RKDartists-identificatiecode,Jeugdliteratuur-identificatiecode,taalbeheersing,beschreven door bron,moedertaal,onderhouden door wikiproject,stem,elFilm-identificatiecode voor persoon,lesarchivesduspectacle-identificatiecode,KMDb-identificatiecode voor persoon,elCinema-identificatiecode voor persoon,OMDB-identificatiecode voor persoon,EDb-identificatiecode voor persoon,sport,BNE-identificatiecode,Genius-identificatiecode voor artiest (numeriek),Genius-identificatiecode voor artiest,Quora-identificatiecode voor onderwerp,TMDb-identificatiecode voor persoon,Cinemagia-identificatiecode voor acteur,Biografisch Portaal-identificatiecode,Biografisch Woordenboek van Nederland: 1880-2000-identificatiecode,op focuslijst van Wikimedia-project,relevant werk,NUKAT-identificatiecode,schrijftaal,FAST-identificatiecode,BIBSYS-identificatiecode,opleiding gevolgd aan,Find a Grave-identificatiecode voor graf,DVN-identificatiecode,student van,broer of zus,floruit,Lambiek Comiclopedia-identificatiecode voor kunstenaar,onderdeel van,Norwegian Nationaltheatret-identificatiecode voor acteur,werkveld,gesproken tekst,KRNLK-identificatiecode,BNB-identificatiecode voor persoon,NDL-identificatiecode,Babelio-identificatiecode voor auteur,lid van sportteam of club,transfermarkt-identificatiecode voor voetballer,sportnationaliteit,positie van speler / specialiteit,Eu-football.info-identificatiecode voor speler,National-Football-Teams.com-identificatiecode voor speler,ambt,werkgever,moeder,Artnet-identificatiecode voor kunstenaar,Artsy-identificatiecode voor artiest,Munzinger Pop-identificatiecode,DACS-identificatiecode,PictoRight-identificatiecode voor kunstenaar,SNAC-identificatiecode,Invaluable.com-identificatiecode voor kunstenaar,auteursrechtvertegenwoordiger,Rock's Backpages-identificatiecode voor artiest,Christie's-identificatiecode voor kunstenaar,werklocatie,MutualArt-identificatiecode voor kunstenaar,foto van graf,Commonscreatorpagina,WikiTree-identificatiecode,ArtBrokerage-identificatiecode voor artiest,Geni.com-identificatiecode,hoofdcategorie van onderwerp,Billboard-identificatiecode voor artiest,Benezit-identificatiecode,partner,verkorte naam,NLP-identificatiecode (record)
Cynthia_Abma,http://www.cynthiaabma.nl/,Koninkrijk der Nederlanden,nm0008819,1969-05-31T00:00:00Z,20023,Cynthia,televisieacteur;televisiepresentator,Rotterdam,vrouwelijk,75182,cynthiaabma,CynthiaAbma1,1990-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Cynthia%20Abma.jpg,Abma,407951,/m/0hj9wvj,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ab_Abspoel,,Koninkrijk der Nederlanden,nm0009428,1925-04-29T00:00:00Z,,Albert,televisieacteur,Den Haag,mannelijk,75249,,,1959-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Leo%20de%20Hartogh%2C%20Elisabeth%20Versluys%20en%20Ab%20Abspoel%20%281961%29.jpg,,,,mens,Michael Abspoel,Ab Abspoel,Albert Abspoel,Stadsarchief Rotterdam,oeuvre auteursrechtelijk beschermd,Amstelveen,2000-03-28T00:00:00Z,Ab Abspoel,136880111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas_Acda,http://www.thomasacda.nl/,Koninkrijk der Nederlanden,nm0009636,1967-03-06T00:00:00Z,,Thomas,zanger;televisieacteur;filmregisseur;cabaretier;filmacteur,De Rijp,mannelijk,75284,,,1993-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Acda.jpg,,166741,/m/0956kz,mens,,Thomas Acda,,,,,,,,b750b2e4-7fc0-4312-88a7-76b8e59bc896,thomas_acda,284511467,agent/base/159589,viaf-284511467,stem,204095,0000 0003 6913 2522,255303,266025,19152266X,M00000013049,Universal Music Group,42308,p232076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christel_Adelaar,,Koninkrijk der Nederlanden,nm0011780,1935-02-14T00:00:00Z,,Christel,acteur;zanger;televisiepresentator;presentator,Semarang,vrouwelijk,75415,,,1955-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Christel%20Adelaar.png,Adelaar,,/m/0pk_13w,mens,,Christel Adelaar,,,,Heemstede,2013-01-10T00:00:00Z,,,,,,,,stem,,,,,,,,,,natuurlijke dood,longkanker,701918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achmed_Akkabi,,Koninkrijk der Nederlanden,nm2403095,1983-10-03T00:00:00Z,,Achmed,acteur;televisieacteur;televisiepresentator;presentator;filmacteur,Den Haag,mannelijk,209882,,,2006-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Achmed%20Akkabi%20and%20Liliana%20de%20Vries%20%28cropped%29%20-%20Achmed%20Akkabi.jpg,,225746,/m/05z_18j,mens,,Achmed Akkabi,,,,,,,,,,291688441,,viaf-291688441,,,0000 0003 9666 8525,1174802,176750,330357425,,,,p553804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willeke_Alberti,https://willekealberti.nl,Koninkrijk der Nederlanden,nm0016675,1945-02-03T00:00:00Z,,Willeke,zanger;televisieacteur;filmacteur;studiomuzikant,Amsterdam,vrouwelijk,76612,,,1956-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Willeke%20Alberti.jpg,Alberti,400394,/m/01vs48f,mens,Daniëlle Oonk;Johnny de Mol,Willeke Alberti,Willy Albertina Verbrugge,,,,,,,4a55ccc3-2c29-4e2b-9101-fcf45472a527,willeke_alberti,289567214,agent/base/69178,lccn-n2016029753,stem,,0000 0003 7237 8005,,,073599476,M00000077610,Philips Records,,,,,,Joop Oonk;John de Mol jr.;Søren Lerby,1072111063,populaire-muziek/willeke-alberti,n2016029753,Eurovisiesongfestival 1994,282286,Nederlandstalige muziek;levenslied,willeke-alberti,mn0002185869,Ridder in de Orde van Oranje-Nassau;Gouden Harp,3,Willeke Alberti,1911773,Willy Alberti,453696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlies_van_Alcmaer,,Koninkrijk der Nederlanden,nm0017236,1938-01-30T00:00:00Z,,Marlies,acteur,Alkmaar,vrouwelijk,76677,,,1962-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Marlies%20van%20Alcmaer.png,,364996,/m/0pxfgx_,mens,,Marlies van Alcmaer,,,,,,,,388a9c28-f22b-4f3e-abc3-88def2e0f621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marjolein_Algera,,Koninkrijk der Nederlanden,nm1131818,1965-11-25T00:00:00Z,,Marjolein,stemacteur,,vrouwelijk,,,,,,,431636,,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najib_Amhali,,Koninkrijk der Nederlanden,nm0024801,1971-04-04T00:00:00Z,,Najib,acteur;televisieacteur;cabaretier;filmacteur,Nador,mannelijk,76888,,,1989-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Najib%20Amhali%20-%20Daten%20-%20Klassieker.webm%2002.jpg,,,/m/025w_17,mens,,,,,,,,,,,najib_amhali,120621237,agent/base/90332,viaf-120621237,,,0000 0003 7206 4743,,,261981013,,,,p267628,,,,,,,,,,,,,Leids Cabaret Festival,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Najib%20Amhali%20-%20Daten%20-%20Klassieker.webm,pna2010571721,75274595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willeke_van_Ammelrooy,http://www.willekevanammelrooy.nl,Koninkrijk der Nederlanden,nm0002168,1944-04-05T00:00:00Z,,Willeke,acteur;filmregisseur;filmacteur,Amsterdam,vrouwelijk,76918,,,1966-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Willeke%20van%20Ammelrooy.png,Ammelrooy,6761,/m/026rdvc,mens,Denise Janzee,Willeke van Ammelrooy,,,,,,,,,,64207770,,lccn-no96054296,,19462,0000 0000 7840 8875,100612,22613,071309713,,,13436,p72793,,,,,140324895,film/willeke-van-ammelrooy,no96054296,,1371200,,,,Gouden Kalf voor beste actrice,,,,,,,,,100017;223772,224173,7463,151eb43df43d41cd81f801e6ef89c7d2,140324895,10211,081259743,ShortCutz Amsterdam Jury leden,14045075n,22840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
